competition_structure_id,competition_structure_name,enqueued_time_utc,is_live,is_most_recent,qualification_status,ranking,statistic_type,team_id,team_name_short,value,fdh_inserttimestamp,fdh_updatetimestamp,fdh_deletetimestamp,fdh_fullrecordhash
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Qualified,1,MatchesPlayed,1915218,Nigeria,3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,a5ce2bba54af59ecd3bd4f5e88a4e008
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Qualified,1,MatchesWon,1915218,Nigeria,3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,a5ce2bba54af59ecd3bd4f5e88a4e008
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Qualified,1,Points,1915218,Nigeria,9,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,f3b43f81519f628c7708c5e44c46debb
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Qualified,1,TeamConductScore,1915218,Nigeria,-1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,a8998a58a2c70635b705c5a1e59d7431
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,GoalsAgainst,1923247,Dominican Republic,4,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,42d17bb8ba5adcfa081b5504f3ca047b
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,GoalsDifference,1923247,Dominican Republic,-3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,855de764799d0f8c1e9bcb4076ca9782
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,GoalsFor,1923247,Dominican Republic,1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,ade7b98e7054a9cd89927f166941a22b
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,MatchesDrawn,1923247,Dominican Republic,1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,ade7b98e7054a9cd89927f166941a22b
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,MatchesLost,1923247,Dominican Republic,2,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,a557e6286410064b769a70658681d6c4
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,MatchesPlayed,1923247,Dominican Republic,3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,845dd343a2694db2a2b434844dcf1f14
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,MatchesWon,1923247,Dominican Republic,0,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,e73d94f61545786fb8654516134616af
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,Points,1923247,Dominican Republic,1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,ade7b98e7054a9cd89927f166941a22b
288900,Group A,2024-10-23 01:02:23.000 Z,false,true,Eliminated,3,TeamConductScore,1923247,Dominican Republic,-3,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,855de764799d0f8c1e9bcb4076ca9782
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,GoalsAgainst,1914194,Korea Republic,11,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,577a831de06408afda1eff42d88b1a8d
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,GoalsDifference,1914194,Korea Republic,-10,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,abdb12699bcc9bcc3a4a37b5c7f8b1da
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,GoalsFor,1914194,Korea Republic,1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,2243cb6a7f34d29ce19fd7d8eb93b7f2
288903,Group B,2024-10-22 21:59:00.000 Z,false,true,Eliminated,4,MatchesDrawn,1914194,Korea Republic,1,2024-10-17 03:19:42.866 Z,2024-10-23 03:17:22.470 Z,,2243cb6a7f34d29ce19fd7d8eb93b7f2
